E:\PhD\4-Transfer-Learning\codes\Transfer-Learning-Library\DAN-Alexnet.py:48: UserWarning: You have chosen to seed training. This will turn on the CUDNN deterministic setting, which can slow down your training considerably! You may see unexpected behavior when restarting from checkpoints.
  warnings.warn('You have chosen to seed training. '
=> using model 'AlexNet'
D:\miniconda3\envs\Tlib\lib\site-packages\torchvision-0.13.1-py3.10-win-amd64.egg\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and will be removed in 0.15, please use 'weights' instead.
  warnings.warn(
D:\miniconda3\envs\Tlib\lib\site-packages\torchvision-0.13.1-py3.10-win-amd64.egg\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and will be removed in 0.15. The current behavior is equivalent to passing `weights=AlexNet_Weights.IMAGENET1K_V1`. You can also use `weights=AlexNet_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Epoch 0: Learning Rate for backbone: 0.001; Learning Rates for task heads: 0.01
E:\PhD\4-Transfer-Learning\codes\Transfer-Learning-Library\DAN-Alexnet.py:243: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  entropy_min_loss = entropy(F.softmax(yt), reduction='mean')
Epoch: [0][ 0/88]	Total Loss 4.0994 (4.0994)	Source 3.4639 (3.4639)	Entropy 3.3749 (3.3749)	MMD 0.2980 (0.2980)	Cls Acc 6.25 (6.25)
Epoch: [0][ 1/88]	Total Loss 4.0581 (4.0787)	Source 3.4653 (3.4646)	Entropy 3.3675 (3.3712)	MMD 0.2560 (0.2770)	Cls Acc 0.00 (3.12)
Epoch: [0][ 2/88]	Total Loss 3.7492 (3.9689)	Source 3.1369 (3.3554)	Entropy 3.3518 (3.3647)	MMD 0.2771 (0.2771)	Cls Acc 18.75 (8.33)
Epoch: [0][ 3/88]	Total Loss 3.7597 (3.9166)	Source 3.1357 (3.3005)	Entropy 3.3431 (3.3593)	MMD 0.2897 (0.2802)	Cls Acc 15.62 (10.16)
Epoch: [0][ 4/88]	Total Loss 3.4694 (3.8272)	Source 2.8941 (3.2192)	Entropy 3.3026 (3.3480)	MMD 0.2451 (0.2732)	Cls Acc 31.25 (14.38)
Epoch: [0][ 5/88]	Total Loss 3.2775 (3.7356)	Source 2.6654 (3.1269)	Entropy 3.2551 (3.3325)	MMD 0.2866 (0.2754)	Cls Acc 31.25 (17.19)
Epoch: [0][ 6/88]	Total Loss 2.8321 (3.6065)	Source 2.2275 (2.9984)	Entropy 3.1606 (3.3079)	MMD 0.2885 (0.2773)	Cls Acc 37.50 (20.09)
Epoch: [0][ 7/88]	Total Loss 3.3888 (3.5793)	Source 2.8505 (2.9799)	Entropy 3.0413 (3.2746)	MMD 0.2342 (0.2719)	Cls Acc 21.88 (20.31)
Epoch: [0][ 8/88]	Total Loss 2.7383 (3.4858)	Source 2.1538 (2.8881)	Entropy 2.9545 (3.2390)	MMD 0.2891 (0.2738)	Cls Acc 50.00 (23.61)
Epoch: [0][ 9/88]	Total Loss 2.6202 (3.3993)	Source 2.0769 (2.8070)	Entropy 2.8136 (3.1965)	MMD 0.2619 (0.2726)	Cls Acc 37.50 (25.00)
Epoch: [0][10/88]	Total Loss 2.9756 (3.3608)	Source 2.4613 (2.7756)	Entropy 2.6316 (3.1451)	MMD 0.2511 (0.2707)	Cls Acc 34.38 (25.85)
