/opt/conda/lib/python3.7/site-packages/ipykernel_launcher.py:19: UserWarning: You have chosen to seed training. This will turn on the CUDNN deterministic setting, which can slow down your training considerably! You may see unexpected behavior when restarting from checkpoints.
=> using model 'resnet18'
Epoch 0: Learning Rate for backbone: 0.00030000000000000003; Learning Rates for bottleneck: 0.003; Learning Rates for head: 0.003
/opt/conda/lib/python3.7/site-packages/ipykernel_launcher.py:57: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
Epoch: [0][ 0/88]	Total Loss 3.9026 (3.9026)	Source 3.4797 (3.4797)	Entropy 3.3692 (3.3692)	MMD 0.0860 (0.0860)	Cls Acc 3.12 (3.12)
Epoch: [0][ 1/88]	Total Loss 3.8152 (3.8589)	Source 3.3821 (3.4309)	Entropy 3.3705 (3.3698)	MMD 0.0960 (0.0910)	Cls Acc 9.38 (6.25)
Epoch: [0][ 2/88]	Total Loss 3.8467 (3.8548)	Source 3.4084 (3.4234)	Entropy 3.3695 (3.3697)	MMD 0.1014 (0.0944)	Cls Acc 3.12 (5.21)
Epoch: [0][ 3/88]	Total Loss 3.8773 (3.8605)	Source 3.4142 (3.4211)	Entropy 3.3727 (3.3705)	MMD 0.1258 (0.1023)	Cls Acc 6.25 (5.47)
Epoch: [0][ 4/88]	Total Loss 3.8789 (3.8642)	Source 3.4431 (3.4255)	Entropy 3.3703 (3.3704)	MMD 0.0988 (0.1016)	Cls Acc 6.25 (5.62)
Epoch: [0][ 5/88]	Total Loss 3.8998 (3.8701)	Source 3.4573 (3.4308)	Entropy 3.3669 (3.3698)	MMD 0.1058 (0.1023)	Cls Acc 12.50 (6.77)
Epoch: [0][ 6/88]	Total Loss 3.7774 (3.8569)	Source 3.3251 (3.4157)	Entropy 3.3734 (3.3703)	MMD 0.1149 (0.1041)	Cls Acc 12.50 (7.59)
Epoch: [0][ 7/88]	Total Loss 3.6576 (3.8319)	Source 3.2243 (3.3918)	Entropy 3.3682 (3.3701)	MMD 0.0965 (0.1031)	Cls Acc 12.50 (8.20)
Epoch: [0][ 8/88]	Total Loss 3.9960 (3.8502)	Source 3.5292 (3.4071)	Entropy 3.3665 (3.3697)	MMD 0.1301 (0.1061)	Cls Acc 3.12 (7.64)
Epoch: [0][ 9/88]	Total Loss 3.8370 (3.8488)	Source 3.3942 (3.4058)	Entropy 3.3733 (3.3700)	MMD 0.1055 (0.1061)	Cls Acc 12.50 (8.12)
Epoch: [0][10/88]	Total Loss 3.8782 (3.8515)	Source 3.4083 (3.4060)	Entropy 3.3733 (3.3703)	MMD 0.1326 (0.1085)	Cls Acc 3.12 (7.67)
Epoch: [0][11/88]	Total Loss 3.7321 (3.8416)	Source 3.3220 (3.3990)	Entropy 3.3596 (3.3694)	MMD 0.0741 (0.1056)	Cls Acc 6.25 (7.55)
Epoch: [0][12/88]	Total Loss 3.8261 (3.8404)	Source 3.3524 (3.3954)	Entropy 3.3694 (3.3694)	MMD 0.1368 (0.1080)	Cls Acc 9.38 (7.69)
Epoch: [0][13/88]	Total Loss 3.7814 (3.8362)	Source 3.3444 (3.3918)	Entropy 3.3682 (3.3694)	MMD 0.1002 (0.1075)	Cls Acc 6.25 (7.59)
Epoch: [0][14/88]	Total Loss 3.6783 (3.8256)	Source 3.2650 (3.3833)	Entropy 3.3645 (3.3690)	MMD 0.0768 (0.1054)	Cls Acc 9.38 (7.71)
Epoch: [0][15/88]	Total Loss 3.5803 (3.8103)	Source 3.1442 (3.3684)	Entropy 3.3660 (3.3688)	MMD 0.0994 (0.1050)	Cls Acc 21.88 (8.59)
Epoch: [0][16/88]	Total Loss 3.5972 (3.7978)	Source 3.1639 (3.3564)	Entropy 3.3598 (3.3683)	MMD 0.0973 (0.1046)	Cls Acc 15.62 (9.01)
Epoch: [0][17/88]	Total Loss 3.6534 (3.7897)	Source 3.2392 (3.3498)	Entropy 3.3609 (3.3679)	MMD 0.0782 (0.1031)	Cls Acc 6.25 (8.85)
Epoch: [0][18/88]	Total Loss 3.6430 (3.7820)	Source 3.1988 (3.3419)	Entropy 3.3560 (3.3673)	MMD 0.1086 (0.1034)	Cls Acc 15.62 (9.21)
Epoch: [0][19/88]	Total Loss 3.4451 (3.7652)	Source 3.0271 (3.3262)	Entropy 3.3434 (3.3661)	MMD 0.0837 (0.1024)	Cls Acc 37.50 (10.62)
Epoch: [0][20/88]	Total Loss 3.6090 (3.7577)	Source 3.1199 (3.3163)	Entropy 3.3505 (3.3653)	MMD 0.1540 (0.1049)	Cls Acc 28.12 (11.46)
Epoch: [0][21/88]	Total Loss 3.6828 (3.7543)	Source 3.2062 (3.3113)	Entropy 3.3466 (3.3645)	MMD 0.1419 (0.1066)	Cls Acc 9.38 (11.36)
Epoch: [0][22/88]	Total Loss 3.5176 (3.7440)	Source 3.0521 (3.3001)	Entropy 3.3388 (3.3634)	MMD 0.1316 (0.1077)	Cls Acc 21.88 (11.82)
Epoch: [0][23/88]	Total Loss 3.6679 (3.7409)	Source 3.2220 (3.2968)	Entropy 3.3208 (3.3616)	MMD 0.1138 (0.1079)	Cls Acc 6.25 (11.59)
Epoch: [0][24/88]	Total Loss 3.5100 (3.7316)	Source 3.0641 (3.2875)	Entropy 3.3336 (3.3605)	MMD 0.1125 (0.1081)	Cls Acc 15.62 (11.75)
Epoch: [0][25/88]	Total Loss 3.6581 (3.7288)	Source 3.2487 (3.2860)	Entropy 3.3102 (3.3585)	MMD 0.0784 (0.1069)	Cls Acc 6.25 (11.54)
Epoch: [0][26/88]	Total Loss 3.6475 (3.7258)	Source 3.2017 (3.2829)	Entropy 3.3171 (3.3570)	MMD 0.1141 (0.1072)	Cls Acc 18.75 (11.81)
Epoch: [0][27/88]	Total Loss 3.6735 (3.7239)	Source 3.2136 (3.2804)	Entropy 3.3246 (3.3559)	MMD 0.1274 (0.1079)	Cls Acc 12.50 (11.83)
Epoch: [0][28/88]	Total Loss 3.5391 (3.7176)	Source 3.0922 (3.2739)	Entropy 3.3270 (3.3549)	MMD 0.1142 (0.1081)	Cls Acc 28.12 (12.39)
Epoch: [0][29/88]	Total Loss 3.5610 (3.7123)	Source 3.1014 (3.2682)	Entropy 3.3233 (3.3538)	MMD 0.1272 (0.1088)	Cls Acc 15.62 (12.50)
Epoch: [0][30/88]	Total Loss 3.3995 (3.7022)	Source 2.9484 (3.2579)	Entropy 3.3152 (3.3526)	MMD 0.1196 (0.1091)	Cls Acc 25.00 (12.90)
Epoch: [0][31/88]	Total Loss 3.3878 (3.6924)	Source 2.9656 (3.2487)	Entropy 3.3221 (3.3516)	MMD 0.0900 (0.1085)	Cls Acc 31.25 (13.48)
Epoch: [0][32/88]	Total Loss 3.4677 (3.6856)	Source 3.0390 (3.2424)	Entropy 3.2931 (3.3498)	MMD 0.0994 (0.1083)	Cls Acc 21.88 (13.73)
Epoch: [0][33/88]	Total Loss 3.2979 (3.6742)	Source 2.8642 (3.2312)	Entropy 3.3268 (3.3492)	MMD 0.1010 (0.1080)	Cls Acc 34.38 (14.34)
Epoch: [0][34/88]	Total Loss 3.3768 (3.6657)	Source 2.9201 (3.2224)	Entropy 3.3051 (3.3479)	MMD 0.1262 (0.1086)	Cls Acc 28.12 (14.73)
Epoch: [0][35/88]	Total Loss 3.4476 (3.6596)	Source 3.0057 (3.2163)	Entropy 3.3008 (3.3466)	MMD 0.1118 (0.1087)	Cls Acc 28.12 (15.10)
Epoch: [0][36/88]	Total Loss 3.3258 (3.6506)	Source 2.8758 (3.2071)	Entropy 3.3091 (3.3456)	MMD 0.1191 (0.1089)	Cls Acc 34.38 (15.62)
Epoch: [0][37/88]	Total Loss 3.2861 (3.6410)	Source 2.8587 (3.1980)	Entropy 3.3083 (3.3446)	MMD 0.0966 (0.1086)	Cls Acc 21.88 (15.79)
Epoch: [0][38/88]	Total Loss 3.4707 (3.6367)	Source 3.0301 (3.1937)	Entropy 3.2995 (3.3434)	MMD 0.1106 (0.1087)	Cls Acc 21.88 (15.95)
Epoch: [0][39/88]	Total Loss 3.2967 (3.6282)	Source 2.8834 (3.1859)	Entropy 3.3062 (3.3425)	MMD 0.0827 (0.1080)	Cls Acc 28.12 (16.25)
Epoch: [0][40/88]	Total Loss 3.2454 (3.6188)	Source 2.8336 (3.1773)	Entropy 3.2728 (3.3408)	MMD 0.0845 (0.1074)	Cls Acc 28.12 (16.54)
Epoch: [0][41/88]	Total Loss 3.3562 (3.6126)	Source 2.9319 (3.1715)	Entropy 3.2875 (3.3395)	MMD 0.0956 (0.1072)	Cls Acc 25.00 (16.74)
Epoch: [0][42/88]	Total Loss 3.4992 (3.6099)	Source 3.0645 (3.1690)	Entropy 3.2863 (3.3383)	MMD 0.1061 (0.1071)	Cls Acc 15.62 (16.72)
Epoch: [0][43/88]	Total Loss 3.1516 (3.5995)	Source 2.7182 (3.1587)	Entropy 3.2865 (3.3371)	MMD 0.1048 (0.1071)	Cls Acc 34.38 (17.12)
Epoch: [0][44/88]	Total Loss 3.2107 (3.5909)	Source 2.7913 (3.1506)	Entropy 3.2667 (3.3356)	MMD 0.0928 (0.1068)	Cls Acc 31.25 (17.43)
Epoch: [0][45/88]	Total Loss 3.1199 (3.5806)	Source 2.7119 (3.1410)	Entropy 3.2566 (3.3338)	MMD 0.0823 (0.1062)	Cls Acc 31.25 (17.73)
Epoch: [0][46/88]	Total Loss 3.2197 (3.5730)	Source 2.7984 (3.1337)	Entropy 3.2689 (3.3325)	MMD 0.0944 (0.1060)	Cls Acc 37.50 (18.15)
Epoch: [0][47/88]	Total Loss 3.2543 (3.5663)	Source 2.7711 (3.1262)	Entropy 3.2375 (3.3305)	MMD 0.1594 (0.1071)	Cls Acc 28.12 (18.36)
Epoch: [0][48/88]	Total Loss 3.1111 (3.5570)	Source 2.6604 (3.1167)	Entropy 3.2483 (3.3288)	MMD 0.1259 (0.1075)	Cls Acc 43.75 (18.88)
Epoch: [0][49/88]	Total Loss 3.1156 (3.5482)	Source 2.6789 (3.1079)	Entropy 3.2525 (3.3273)	MMD 0.1115 (0.1076)	Cls Acc 28.12 (19.06)
Epoch: [0][50/88]	Total Loss 3.2349 (3.5421)	Source 2.8167 (3.1022)	Entropy 3.2717 (3.3262)	MMD 0.0911 (0.1072)	Cls Acc 34.38 (19.36)
Epoch: [0][51/88]	Total Loss 2.9634 (3.5309)	Source 2.5284 (3.0912)	Entropy 3.2423 (3.3246)	MMD 0.1107 (0.1073)	Cls Acc 40.62 (19.77)
Epoch: [0][52/88]	Total Loss 3.0838 (3.5225)	Source 2.6280 (3.0824)	Entropy 3.2318 (3.3228)	MMD 0.1326 (0.1078)	Cls Acc 37.50 (20.11)
Epoch: [0][53/88]	Total Loss 3.2697 (3.5178)	Source 2.8246 (3.0777)	Entropy 3.2357 (3.3212)	MMD 0.1215 (0.1080)	Cls Acc 21.88 (20.14)
Epoch: [0][54/88]	Total Loss 3.0699 (3.5097)	Source 2.6444 (3.0698)	Entropy 3.2332 (3.3196)	MMD 0.1022 (0.1079)	Cls Acc 37.50 (20.45)
Epoch: [0][55/88]	Total Loss 2.9296 (3.4993)	Source 2.5067 (3.0597)	Entropy 3.2272 (3.3180)	MMD 0.1002 (0.1078)	Cls Acc 34.38 (20.70)
Epoch: [0][56/88]	Total Loss 2.8659 (3.4882)	Source 2.4370 (3.0488)	Entropy 3.1749 (3.3155)	MMD 0.1114 (0.1078)	Cls Acc 50.00 (21.22)
Epoch: [0][57/88]	Total Loss 2.8764 (3.4777)	Source 2.4575 (3.0386)	Entropy 3.2014 (3.3135)	MMD 0.0988 (0.1077)	Cls Acc 43.75 (21.61)
Epoch: [0][58/88]	Total Loss 2.7396 (3.4651)	Source 2.2769 (3.0257)	Entropy 3.1921 (3.3114)	MMD 0.1435 (0.1083)	Cls Acc 59.38 (22.25)
Epoch: [0][59/88]	Total Loss 2.8680 (3.4552)	Source 2.4409 (3.0160)	Entropy 3.2017 (3.3096)	MMD 0.1069 (0.1083)	Cls Acc 50.00 (22.71)
Epoch: [0][60/88]	Total Loss 2.7141 (3.4430)	Source 2.2941 (3.0041)	Entropy 3.1867 (3.3076)	MMD 0.1013 (0.1082)	Cls Acc 46.88 (23.10)
Epoch: [0][61/88]	Total Loss 2.6842 (3.4308)	Source 2.2529 (2.9920)	Entropy 3.1220 (3.3046)	MMD 0.1191 (0.1083)	Cls Acc 43.75 (23.44)
Epoch: [0][62/88]	Total Loss 2.8482 (3.4216)	Source 2.4155 (2.9829)	Entropy 3.1891 (3.3028)	MMD 0.1137 (0.1084)	Cls Acc 40.62 (23.71)
Epoch: [0][63/88]	Total Loss 2.7008 (3.4103)	Source 2.2481 (2.9714)	Entropy 3.2068 (3.3013)	MMD 0.1320 (0.1088)	Cls Acc 50.00 (24.12)
Epoch: [0][64/88]	Total Loss 2.5291 (3.3967)	Source 2.1306 (2.9584)	Entropy 3.0732 (3.2977)	MMD 0.0912 (0.1085)	Cls Acc 59.38 (24.66)
Epoch: [0][65/88]	Total Loss 2.9039 (3.3893)	Source 2.4759 (2.9511)	Entropy 3.1475 (3.2955)	MMD 0.1132 (0.1086)	Cls Acc 37.50 (24.86)
Epoch: [0][66/88]	Total Loss 2.8192 (3.3808)	Source 2.4141 (2.9431)	Entropy 3.1110 (3.2927)	MMD 0.0940 (0.1084)	Cls Acc 34.38 (25.00)
Epoch: [0][67/88]	Total Loss 2.8937 (3.3736)	Source 2.4813 (2.9363)	Entropy 3.1051 (3.2900)	MMD 0.1019 (0.1083)	Cls Acc 37.50 (25.18)
